delivery_id,customer_id,courier_id,vehicle_type,pickup_place,place_category,item_name,item_quantity,item_category_name,how_long_it_took_to_order,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,when_the_delivery_started,when_the_courier_arrived_at_pickup,when_the_courier_left_pickup,when_the_courier_arrived_at_dropoff
1475902,99621,170737,bicycle,Jack's Wife Freda,Mediterranean,Tuna Salad,1,Salads,10:14.9,40.72198995,-73.9977479,40.723838,-74.0109219,35:26.1,46:53.5,59:43.7,22:29.3
1368104,124614,19432,car,Caracas Arepa Bar,South American,La Pelua,2,Arepas,04:10.6,40.72681,-73.985329,40.7552588,-73.9677232,16:47.0,14:12.7,38:32.8,53:47.0
1488114,198266,22502,bicycle,Mighty Quinn's BBQ,BBQ,Lagunitas,1,Beverages,,40.72751895,-73.9886713,40.76112,-73.978823,48:16.2,52:01.3,02:51.3,25:55.7
1460716,392513,172301,car,Trader Joe's,Grocery Store,Dark Chocolate Powerberries,1,"Cookies, Snacks & Candy",,40.73363378,-73.98776924,40.7301126,-73.9942024,28:24.9,,,42:23.0
1391475,83484,157471,car,Shake Shack,Burger,Cheese Fries,1,Fries,,40.69214641,-73.98886538,40.72366215,-73.97795169,20:24.9,24:59.0,45:48.4,43:54.7
1438484,79478,41959,bicycle,Smoke Scene,,,,,,40.763983,-73.981309,40.78193654,-73.95750254,56:11.8,08:26.9,20:46.4,38:38.3
1292429,142873,133452,bicycle,Whole Foods Market,Grocery Store,Sliced Prosciutto,2,Deli Meat,,40.759659,-73.966097,40.76269089,-73.96550882,41:28.2,49:04.0,28:54.8,38:48.2
1459731,339144,142394,bicycle,The Meatball Shop,Italian,Daily Roast Veggies,1,Green Market,06:01.7,40.77149125,-73.95633415,40.7985503,-73.9407595,59:42.9,13:21.7,28:11.2,43:17.6
1332977,112353,129698,car,Momofuku Milk Bar,Dessert,Cereal Milk and Crack Pie Twist Soft Serve (1 Pint),1,Soft Serve,,40.73179547,-73.98567259,40.743074,-73.993967,29:33.1,47:35.7,07:55.6,20:45.2
1322787,235620,142394,bicycle,Shake Shack,Burger,Shack-cago Dog,1,Flat Top Dogs,,40.74088436,-73.98819868,40.7293015,-73.9869532,39:45.7,04:23.2,43:41.9,52:06.2
1410232,66636,38597,bicycle,Shake Shack,Burger,Shack Burger,2,Burgers,,40.71527933,-74.01486039,40.7395111,-74.0029373,13:34.7,24:04.2,38:24.8,49:40.1
