,delivery_id,customer_id,courier_id,vehicle_type,pickup_place,place_category,item_name,item_quantity,item_category_name,how_long_it_took_to_order,pickup_lat,pickup_lon,dropoff_lat,dropoff_lon,when_the_delivery_started,when_the_courier_arrived_at_pickup,when_the_courier_left_pickup,when_the_courier_arrived_at_dropoff,distance_crossed
2950,1413479,151789,66416,bicycle,sweetgreen,Salad,Roasted Turkey + Fall Vegetables,1.0,Signatures,05:54.4,40.74507859,-73.98882151,40.7506213,-73.9862915,00:14:19.600000,00:15:39.400000,00:39:59.500000,00:46:55.300000,0.6515454668226853
2952,1417129,276192,43955,bicycle,Sushi of Gari Tribeca,Japanese,Tuna,4.0,Nigiri Sushi,14:40.3,40.71672576,-74.00825065,40.723729,-74.0040761,00:10:29.500000,00:37:30,00:43:50.200000,00:49:23.300000,0.853943089051036
2956,1486556,64658,23359,bicycle,Blue Ribbon Sushi Bar & Grill,Japanese,House Salad,1.0,Salads,10:33.3,40.76765291,-73.98292546,40.7654039,-73.980859,00:23:44.100000,00:27:44,00:45:30.200000,00:50:09.500000,0.30465859054122185
2958,1484400,129486,174186,van,Empanada Mama (closed),Mexican,Beef,1.0,Oven Baked Wheat Flour,04:54.3,40.764217,-73.988321,40.73192256,-74.00132944,00:08:54.400000,00:19:33.300000,00:32:22.900000,00:48:02.200000,3.7507710170763047
2970,1431446,103500,142394,bicycle,RedFarm Hudson,Chinese,"Thin Rice Noodles, Vegetable, Singapore Style",1.0,Dinner Specials,07:36.2,40.73421385,-74.00620203,40.748407,-73.990211,00:38:41.800000,00:54:03.100000,00:08:24,00:21:32.200000,2.075684504583276
2971,1295567,125878,67103,truck,Serafina Fabulous Pizza,Italian,Arugula E Filetto,1.0,Insalate,26:41.1,40.77608319,-73.96217158,40.76492817,-73.9609186,00:55:49,00:56:58.900000,00:48:19.900000,00:59:07.600000,1.2432676679480614
2974,1470557,152786,122124,bicycle,Cafe Habana,Mexican,Grilled Corn Mexican Style,1.0,Side Orders,06:31.5,40.7228417,-73.99411647,40.747184,-73.97245,00:01:50.500000,00:04:57.400000,00:17:47.900000,00:35:36.900000,3.264476443868489
2975,1325228,157397,137297,bicycle,Veselka,Russian,Potato Pancake,1.0,Sides,03:05.4,40.72913623,-73.98697151,40.7455085,-73.9905429,00:17:20,00:34:08.300000,00:39:55.500000,00:58:30.800000,1.8429786043137082
2977,1386647,42640,157471,car,Empanada Mama (closed),Mexican,Endive Salad,1.0,Salads,15:54.5,40.764217,-73.988321,40.748427,-73.995903,00:02:30.600000,00:11:56.400000,00:30:42.900000,00:41:03.700000,1.8667015151205582
2978,1460371,151191,7833,bicycle,RedFarm Hudson,Chinese,"Mango & Arugula Salad, Yuzu Vinaigrette",1.0,Starters & Salads,03:14.6,40.73421385,-74.00620203,40.71661378,-74.01256386,00:01:49,00:59:34,00:27:24.100000,00:44:34.200000,2.0270173249440333
2980,1392282,367076,137297,bicycle,Sushi of Gari 46,Sushi,Chicken Teriyaki,1.0,A La Carte,06:27.0,40.76065444,-73.98958275,40.775021,-73.9590744,00:22:39.800000,00:33:04.300000,00:42:37.500000,00:58:01.700000,3.0298677084483536
2985,1283616,336435,15291,car,P.J. Clarke's,American,Yellowfin Tuna Tartare Tacos,1.0,Appetizers,05:44.6,40.77196187,-73.98262024,40.7780973,-73.9749462,00:23:56.800000,00:35:38.200000,00:44:27.900000,00:51:03.200000,0.9401732505688601
2987,1372722,47594,164202,bicycle,California Pizza Kitchen,Pizza,Thai Crunch,1.0,Salads,06:27.3,40.74466624,-73.98334441,40.780774,-73.9542921,00:47:15.800000,00:53:05.400000,00:21:54.500000,00:54:21.100000,4.700592214891793
